2020-02-06 11:46:20,558 INFO  [main] yarn.GiraphApplicationMaster (GiraphApplicationMaster.java:main(421)) - Starting GitaphAM 
2020-02-06 11:46:22,710 INFO  [main] yarn.GiraphApplicationMaster (GiraphApplicationMaster.java:<init>(168)) - GiraphAM  for ContainerId container_1581005114675_0016_01_000001 ApplicationAttemptId appattempt_1581005114675_0016_000001
2020-02-06 11:46:22,791 INFO  [main] client.RMProxy (RMProxy.java:createRMProxy(92)) - Connecting to ResourceManager at /0.0.0.0:8030
2020-02-06 11:46:22,834 INFO  [main] impl.NMClientAsyncImpl (NMClientAsyncImpl.java:serviceInit(107)) - Upper bound of the thread pool size is 500
2020-02-06 11:46:22,837 INFO  [main] impl.ContainerManagementProtocolProxy (ContainerManagementProtocolProxy.java:<init>(78)) - yarn.client.max-nodemanagers-proxies : 500
2020-02-06 11:46:23,044 INFO  [main] yarn.GiraphApplicationMaster (GiraphApplicationMaster.java:setupContainerAskForRM(279)) - Requested container ask: Capability[<memory:1024, vCores:0>]Priority[10]
2020-02-06 11:46:23,058 INFO  [main] yarn.GiraphApplicationMaster (GiraphApplicationMaster.java:setupContainerAskForRM(279)) - Requested container ask: Capability[<memory:1024, vCores:0>]Priority[10]
2020-02-06 11:46:23,066 INFO  [main] yarn.GiraphApplicationMaster (GiraphApplicationMaster.java:run(185)) - Wait to finish ..
2020-02-06 11:46:24,112 INFO  [AMRM Heartbeater thread] impl.AMRMClientImpl (AMRMClientImpl.java:populateNMTokens(299)) - Received new token for : c3cb13bb66a8:46663
2020-02-06 11:46:24,114 INFO  [AMRM Callback Handler Thread] yarn.GiraphApplicationMaster (GiraphApplicationMaster.java:onContainersAllocated(605)) - Got response from RM for container ask, allocatedCnt=1
2020-02-06 11:46:24,115 INFO  [AMRM Callback Handler Thread] yarn.GiraphApplicationMaster (GiraphApplicationMaster.java:onContainersAllocated(608)) - Total allocated # of container so far : 1 allocated out of 2 required.
2020-02-06 11:46:24,115 INFO  [AMRM Callback Handler Thread] yarn.GiraphApplicationMaster (GiraphApplicationMaster.java:startContainerLaunchingThreads(359)) - Launching command on a new container., containerId=container_1581005114675_0016_01_000002, containerNode=c3cb13bb66a8:46663, containerNodeURI=c3cb13bb66a8:8042, containerResourceMemory=1024
2020-02-06 11:46:24,116 INFO  [pool-4-thread-1] yarn.GiraphApplicationMaster (GiraphApplicationMaster.java:buildContainerLaunchContext(492)) - Setting up container launch container for containerid=container_1581005114675_0016_01_000002
2020-02-06 11:46:24,130 INFO  [pool-4-thread-1] yarn.GiraphApplicationMaster (GiraphApplicationMaster.java:buildContainerLaunchContext(498)) - Conatain launch Commands :java -Xmx1024M -Xms1024M -cp .:${CLASSPATH} org.apache.giraph.yarn.GiraphYarnTask 1581005114675 16 2 1 1><LOG_DIR>/task-2-stdout.log 2><LOG_DIR>/task-2-stderr.log 
2020-02-06 11:46:24,131 INFO  [pool-4-thread-1] yarn.GiraphApplicationMaster (GiraphApplicationMaster.java:buildContainerLaunchContext(518)) - Setting username in ContainerLaunchContext to: root
2020-02-06 11:46:24,909 INFO  [pool-4-thread-1] yarn.YarnUtils (YarnUtils.java:addFsResourcesToMap(72)) - Adding myjar.jar to LocalResources for export.to hdfs://c3cb13bb66a8:9000/user/root/giraph_yarn_jar_cache/application_1581005114675_0016/myjar.jar
2020-02-06 11:46:24,968 INFO  [pool-4-thread-1] yarn.YarnUtils (YarnUtils.java:addFileToResourceMap(160)) - Registered file in LocalResources :: hdfs://c3cb13bb66a8:9000/user/root/giraph_yarn_jar_cache/application_1581005114675_0016/myjar.jar
2020-02-06 11:46:24,968 WARN  [pool-4-thread-1] yarn.YarnUtils (YarnUtils.java:addFsResourcesToMap(81)) - Job jars (-yj option) didn't include giraph-core.
2020-02-06 11:46:24,970 INFO  [pool-4-thread-1] yarn.YarnUtils (YarnUtils.java:addFileToResourceMap(160)) - Registered file in LocalResources :: hdfs://c3cb13bb66a8:9000/user/root/giraph_yarn_jar_cache/application_1581005114675_0016/giraph-conf.xml
2020-02-06 11:46:24,989 INFO  [org.apache.hadoop.yarn.client.api.async.impl.NMClientAsyncImpl #0] impl.NMClientAsyncImpl (NMClientAsyncImpl.java:run(531)) - Processing Event EventType: START_CONTAINER for Container container_1581005114675_0016_01_000002
2020-02-06 11:46:24,991 INFO  [org.apache.hadoop.yarn.client.api.async.impl.NMClientAsyncImpl #0] impl.ContainerManagementProtocolProxy (ContainerManagementProtocolProxy.java:newProxy(212)) - Opening proxy : c3cb13bb66a8:46663
2020-02-06 11:46:25,069 INFO  [org.apache.hadoop.yarn.client.api.async.impl.NMClientAsyncImpl #1] impl.NMClientAsyncImpl (NMClientAsyncImpl.java:run(531)) - Processing Event EventType: QUERY_CONTAINER for Container container_1581005114675_0016_01_000002
2020-02-06 11:46:25,123 INFO  [AMRM Callback Handler Thread] yarn.GiraphApplicationMaster (GiraphApplicationMaster.java:onContainersAllocated(605)) - Got response from RM for container ask, allocatedCnt=1
2020-02-06 11:46:25,124 INFO  [AMRM Callback Handler Thread] yarn.GiraphApplicationMaster (GiraphApplicationMaster.java:onContainersAllocated(608)) - Total allocated # of container so far : 2 allocated out of 2 required.
2020-02-06 11:46:25,124 INFO  [AMRM Callback Handler Thread] yarn.GiraphApplicationMaster (GiraphApplicationMaster.java:startContainerLaunchingThreads(359)) - Launching command on a new container., containerId=container_1581005114675_0016_01_000003, containerNode=c3cb13bb66a8:46663, containerNodeURI=c3cb13bb66a8:8042, containerResourceMemory=1024
2020-02-06 11:46:25,126 INFO  [pool-4-thread-2] yarn.GiraphApplicationMaster (GiraphApplicationMaster.java:buildContainerLaunchContext(492)) - Setting up container launch container for containerid=container_1581005114675_0016_01_000003
2020-02-06 11:46:25,127 INFO  [pool-4-thread-2] yarn.GiraphApplicationMaster (GiraphApplicationMaster.java:buildContainerLaunchContext(498)) - Conatain launch Commands :java -Xmx1024M -Xms1024M -cp .:${CLASSPATH} org.apache.giraph.yarn.GiraphYarnTask 1581005114675 16 3 1 1><LOG_DIR>/task-3-stdout.log 2><LOG_DIR>/task-3-stderr.log 
2020-02-06 11:46:25,127 INFO  [pool-4-thread-2] yarn.GiraphApplicationMaster (GiraphApplicationMaster.java:buildContainerLaunchContext(518)) - Setting username in ContainerLaunchContext to: root
2020-02-06 11:46:25,129 INFO  [org.apache.hadoop.yarn.client.api.async.impl.NMClientAsyncImpl #2] impl.NMClientAsyncImpl (NMClientAsyncImpl.java:run(531)) - Processing Event EventType: START_CONTAINER for Container container_1581005114675_0016_01_000003
2020-02-06 11:46:25,134 INFO  [org.apache.hadoop.yarn.client.api.async.impl.NMClientAsyncImpl #3] impl.NMClientAsyncImpl (NMClientAsyncImpl.java:run(531)) - Processing Event EventType: QUERY_CONTAINER for Container container_1581005114675_0016_01_000003
2020-02-06 11:46:26,127 INFO  [AMRM Callback Handler Thread] yarn.GiraphApplicationMaster (GiraphApplicationMaster.java:onContainersAllocated(605)) - Got response from RM for container ask, allocatedCnt=1
2020-02-06 11:46:26,127 INFO  [AMRM Callback Handler Thread] yarn.GiraphApplicationMaster (GiraphApplicationMaster.java:onContainersAllocated(608)) - Total allocated # of container so far : 3 allocated out of 2 required.
2020-02-06 11:46:26,128 INFO  [AMRM Callback Handler Thread] yarn.GiraphApplicationMaster (GiraphApplicationMaster.java:startContainerLaunchingThreads(359)) - Launching command on a new container., containerId=container_1581005114675_0016_01_000004, containerNode=c3cb13bb66a8:46663, containerNodeURI=c3cb13bb66a8:8042, containerResourceMemory=1024
2020-02-06 11:46:26,128 INFO  [pool-4-thread-1] yarn.GiraphApplicationMaster (GiraphApplicationMaster.java:buildContainerLaunchContext(492)) - Setting up container launch container for containerid=container_1581005114675_0016_01_000004
2020-02-06 11:46:26,128 INFO  [pool-4-thread-1] yarn.GiraphApplicationMaster (GiraphApplicationMaster.java:buildContainerLaunchContext(498)) - Conatain launch Commands :java -Xmx1024M -Xms1024M -cp .:${CLASSPATH} org.apache.giraph.yarn.GiraphYarnTask 1581005114675 16 4 1 1><LOG_DIR>/task-4-stdout.log 2><LOG_DIR>/task-4-stderr.log 
2020-02-06 11:46:26,128 INFO  [pool-4-thread-1] yarn.GiraphApplicationMaster (GiraphApplicationMaster.java:buildContainerLaunchContext(518)) - Setting username in ContainerLaunchContext to: root
2020-02-06 11:46:26,136 INFO  [org.apache.hadoop.yarn.client.api.async.impl.NMClientAsyncImpl #4] impl.NMClientAsyncImpl (NMClientAsyncImpl.java:run(531)) - Processing Event EventType: START_CONTAINER for Container container_1581005114675_0016_01_000004
2020-02-06 11:46:26,156 INFO  [org.apache.hadoop.yarn.client.api.async.impl.NMClientAsyncImpl #5] impl.NMClientAsyncImpl (NMClientAsyncImpl.java:run(531)) - Processing Event EventType: QUERY_CONTAINER for Container container_1581005114675_0016_01_000004
2020-02-06 11:46:53,293 INFO  [AMRM Callback Handler Thread] yarn.GiraphApplicationMaster (GiraphApplicationMaster.java:onContainersCompleted(571)) - Got response from RM for container ask, completedCnt=1
2020-02-06 11:46:53,294 INFO  [AMRM Callback Handler Thread] yarn.GiraphApplicationMaster (GiraphApplicationMaster.java:onContainersCompleted(574)) - Got container status for containerID=container_1581005114675_0016_01_000003, state=COMPLETE, exitStatus=0, diagnostics=
2020-02-06 11:46:53,295 INFO  [AMRM Callback Handler Thread] yarn.GiraphApplicationMaster (GiraphApplicationMaster.java:onContainersCompleted(596)) - After completion of one conatiner. current status is: completedCount :1 containersToLaunch :2 successfulCount :1 failedCount :0
2020-02-06 11:46:56,313 INFO  [AMRM Callback Handler Thread] yarn.GiraphApplicationMaster (GiraphApplicationMaster.java:onContainersCompleted(571)) - Got response from RM for container ask, completedCnt=1
2020-02-06 11:46:56,314 INFO  [AMRM Callback Handler Thread] yarn.GiraphApplicationMaster (GiraphApplicationMaster.java:onContainersCompleted(574)) - Got container status for containerID=container_1581005114675_0016_01_000002, state=COMPLETE, exitStatus=0, diagnostics=
2020-02-06 11:46:56,314 INFO  [AMRM Callback Handler Thread] yarn.GiraphApplicationMaster (GiraphApplicationMaster.java:onContainersCompleted(594)) - All container compeleted. done = true
2020-02-06 11:46:56,381 INFO  [main] yarn.GiraphApplicationMaster (GiraphApplicationMaster.java:run(194)) - Done true
