Source,Target,Weight,Timestamp
1,2,8,1296629344
1,3,6,1308241841
1,4,10,1343107173
1,5,4,1289710643
1,6,8,1308242031
1,7,9,1298267256
1,8,7,1308241905
1,9,2,1307079555
1,10,7,1308242058
1,13,3,1291090931
1,15,1,1289243140
1,17,9,1290969237
1,19,6,1298950354
1,20,2,1291505266
1,21,6,1306120947
1,23,6,1296657671
1,29,4,1305071802
1,31,2,1291052765
1,32,1,1290666953
1,33,7,1308242022
1,34,1,1290750434
1,35,4,1411966327
1,36,3,1326840244
1,39,8,1308242007
1,41,8,1308242002
1,47,3,1304570103
1,51,1,1304355928
1,54,1,1292196392
1,56,2,1292957196
1,57,6,1325731951
1,60,8,1308241998
1,61,5,1306083436
1,62,-5,1411966421
1,64,3,1301975394
1,68,2,1294083688
1,71,1,1293481238
1,74,1,1293579274
1,76,2,1296631215
1,78,1,1293749574
1,80,2,1305064091
1,81,1,1294982042
1,101,1,1295163874
1,104,1,1301600149
1,109,1,1302729570
1,110,1,1297627293
1,111,2,1298062294
1,114,2,1298061894
1,115,1,1398368138
1,119,1,1296512103
1,120,3,1327641204
1,125,2,1354515267
1,132,1,1301366233
1,134,3,1321212291
1,135,4,1411968389
1,138,1,1297373817
1,139,2,1304004287
1,141,1,1302881463
1,143,5,1344980398
1,144,5,1304552018
1,145,1,1297789864
1,159,2,1376689838
1,165,1,1298487310
1,171,2,1343357725
1,178,7,1323560233
1,180,1,1303356387
1,192,3,1409525335
1,197,8,1308241991
1,202,1,1376861617
1,215,1,1305509119
1,219,3,1304563248
1,223,7,1301329949
1,225,1,1301354601
1,227,1,1301369843
1,234,1,1302237680
1,245,1,1302017978
1,247,1,1302043778
1,251,2,1302292174
1,260,1,1302449430
1,261,1,1302453500
1,266,1,1306094216
1,270,5,1308316798
1,271,1,1302800924
1,274,1,1302847190
1,296,1,1303161462
1,304,3,1330495191
1,308,3,1362524311
1,309,2,1312557814
1,311,1,1303486160
1,312,1,1303486511
1,320,3,1304579354
1,324,1,1304034494
1,330,5,1361775787
1,350,1,1321218986
1,353,5,1307051395
1,356,1,1304098160
1,384,1,1304359309
1,396,4,1307049475
1,399,1,1304368646
1,416,1,1304874495
1,421,2,1305062650
1,431,1,1304699104
1,438,1,1304488105
1,442,1,1304533793
1,464,1,1304659252
1,481,1,1385402012
1,486,1,1304845773
1,492,1,1345075710
1,494,1,1305091692
1,505,1,1305009175
1,511,1,1305072251
1,522,2,1311199990
1,534,5,1305254868
1,537,1,1305267250
1,539,1,1309065237
1,540,1,1331067540
1,545,1,1307327005
1,563,1,1305438447
1,567,1,1305443882
1,569,1,1305447852
1,579,1,1305600755
1,592,3,1324013224
1,630,2,1306124744
1,635,3,1345650003
1,647,2,1306939892
1,672,-5,1306513050
1,677,1,1306132108
1,695,1,1306336012
1,703,1,1392872603
1,729,2,1342985886
1,773,1,1306939155
1,779,1,1307117326
1,823,3,1331013157
1,861,1,1311538217
1,882,1,1311286703
1,905,-5,1411966511
1,1010,2,1312252188
1,1053,2,1333326244
1,1134,1,1308060193
1,1201,8,1333421158
1,1217,1,1361284724
1,1245,1,1329521010
1,1281,1,1329682463
1,1316,5,1331930345
1,1317,5,1336107394
1,1318,2,1385534417
1,1352,3,1327446649
1,1353,2,1321484569
1,1363,6,1333599170
1,1366,3,1333511733
1,1369,1,1311653853
1,1383,-10,1411966352
1,1386,5,1320897150
1,1396,4,1393291669
1,1447,1,1315028115
1,1487,2,1327604119
1,1508,1,1367549395
1,1541,3,1320536477
1,1555,1,1326396349
1,1557,1,1320692084
1,1565,3,1376656259
1,1566,2,1376861713
1,1585,2,1343107075
1,1615,9,1394508252
1,1620,4,1362080981
1,1656,6,1336230301
1,1693,2,1329181545
1,1701,5,1336016018
1,1714,2,1331525944
1,1727,1,1326863467
1,1749,1,1327700513
1,1753,-10,1333403160
